image,english,chinese,french
https://picsum.photos/id/274/400/300,She woke to the sound of someone else's life,她在别人生活的声响中醒来,Elle s'est réveillée au bruit de la vie d'un autre
https://picsum.photos/id/265/400/300,The apartment smelled like coffee she didn't make,公寓里飘着她没有煮的咖啡香,L'appartement sentait le café qu'elle n'avait pas fait
https://picsum.photos/id/219/400/300,She left without looking back,她头也不回地离开了,Elle est partie sans se retourner
https://picsum.photos/id/43/400/300,The train carried her past towns she'd never name,火车带她经过那些她永远不会知道名字的小镇,Le train l'emportait au-delà de villes dont elle ne saurait jamais le nom
https://picsum.photos/id/58/400/300,The road ahead was empty and endless,前方的路空旷无尽,La route devant elle était vide et sans fin
https://picsum.photos/id/15/400/300,Rain came without warning like grief does,雨毫无预兆地落下就像悲伤那样,La pluie est venue sans prévenir comme le fait le chagrin
https://picsum.photos/id/10/400/300,The forest swallowed her whole,森林将她整个吞没,La forêt l'a engloutie tout entière
https://picsum.photos/id/167/400/300,She built a fire with hands that used to type emails,她用曾经打字发邮件的手生起了火,Elle a fait du feu avec des mains qui tapaient autrefois des emails
https://picsum.photos/id/20/400/300,By the lake she remembered how to breathe,在湖边她重新学会了呼吸,Au bord du lac elle a réappris à respirer
https://picsum.photos/id/180/400/300,A stranger shared bread and said nothing,一个陌生人分了面包给她什么也没说,Un inconnu a partagé son pain sans rien dire
https://picsum.photos/id/119/400/300,The stars were obscene in their abundance,星星多得近乎放肆,Les étoiles étaient obscènes dans leur abondance
https://picsum.photos/id/16/400/300,The mountain asked nothing of her,山什么都没有向她索取,La montagne ne lui demandait rien
https://picsum.photos/id/235/400/300,She slept on the ground and dreamed of nothing,她睡在地上什么梦也没做,Elle a dormi à même le sol et n'a rêvé de rien
https://picsum.photos/id/134/400/300,Morning light hit her face like a second chance,晨光照在她脸上像是第二次机会,La lumière du matin a touché son visage comme une seconde chance
https://picsum.photos/id/177/400/300,She walked back slowly this time,这一次她慢慢地走了回去,Cette fois elle est rentrée lentement
https://picsum.photos/id/259/400/300,The door was still open,门还开着,La porte était encore ouverte
