image,english,chinese,french
https://images.pexels.com/photos/4530435/pexels-photo-4530435.jpeg?auto=compress&cs=tinysrgb&h=350,"A certain father had two sons, the elder of who was smart and sensible, and could do everything, but the younger was stupid and could neither learn nor understand anything, and when people saw him they said: ‘There’s a fellow who will give his father some trouble!’ When anything had to be done, it was always the elder who was forced to do it; but if his father bade him fetch anything when it was late, or in the night-time, and the way led through the churchyard, or any other dismal place, he answered: ‘Oh, no father, I’ll not go there, it makes me shudder!’ for he was afraid. Or when stories were told by the fire at night which made the flesh creep, the listeners sometimes said: ‘Oh, it makes us shudder!’ The younger sat in a corner and listened with the rest of them, and could not imagine what they could mean. ‘They are always saying: “It makes me shudder, it makes me shudder!” It does not make me shudder,’ thought he. ‘That, too, must be an art of which I understand nothing!’ Now it came to pass that his father said to him one day: ‘Hearken to me, you fellow in the corner there, you are growing tall and strong, and you too must learn something by which you can earn your bread. Look how your brother works, but you do not even earn your salt.’ ‘Well, father,’ he replied, ‘I am quite willing to learn something--indeed, if it could but be managed, I should like to learn how to shudder. I don’t understand that at all yet.’ The elder brother smiled when he heard that, and thought to himself: ‘Goodness, what a blockhead that brother of mine is!",有一个父亲有两个儿子，大的聪明懂事，什么事都能做，小的却很笨，什么都学不会，不懂什么，人们见了他就说：“有一个家伙要给他的父亲添麻烦！”凡是有事要做的时候，总是由大的来作；但是，如果他的父亲在天色很晚或在夜间时吩咐他去拿东西，而且路要穿过教堂墓地或任何其他阴暗的地方，他就会回答：“哦，不，父亲，我不会去那里，这让我发抖！”因为他害怕。或者，当晚上在火边讲故事时，听者有时会说：“哦，这让我们不寒而栗！”弟弟坐在角落里，和其他人一起听，无法想象他们的意思。 “他们总是说：‘这让我不寒而栗，这让我不寒而栗！’”它不会让我颤抖，”他想。 “那也一定是一门我不懂的艺术！”有一天，他的父亲对他说：“听我说，你在角落里的家伙，你长得又高又壮，你也必须学点东西来养家糊口。”看看你的兄弟是如何工作的，但你连盐都赚不到。” “好吧，父亲，”他回答道，“我很愿意学点东西——事实上，如果可以的话，我想学会如何颤抖。我还完全不明白。”哥哥听了，笑了，心想：“天啊，我这个弟弟真是个笨蛋啊！,"Un certain père avait deux fils, dont l'aîné était intelligent et sensé et savait tout faire, mais le plus jeune était stupide et ne pouvait rien apprendre ni comprendre, et quand les gens le voyaient, ils disaient : « Voilà un type qui va donner du fil à retordre à son père ! » Quand il fallait faire quelque chose, c'était toujours l'aîné qui était obligé de le faire ; mais si son père lui disait d'aller chercher quelque chose tard ou pendant la nuit, et que le chemin passait par le cimetière ou tout autre endroit lugubre, il répondait : « Oh non, mon père, je n'irai pas là-bas, ça me fait frissonner ! » car il avait peur. Ou bien, lorsque des histoires étaient racontées la nuit près du feu, ce qui donnait la chair de poule, les auditeurs disaient parfois : « Oh, ça nous fait frémir ! » Le plus jeune était assis dans un coin et écoutait avec les autres, et ne pouvait pas imaginer ce qu'ils pouvaient dire. « Ils disent toujours : « Ça me fait frissonner, ça me fait frissonner ! Cela ne me fait pas frémir, pensa-t-il. « Cela aussi doit être un art auquel je n'entends rien ! » Or, il arriva qu'un jour son père lui dit : « Écoute-moi, homme du coin là-bas, tu grandis et tu deviens fort, et toi aussi tu dois apprendre quelque chose qui te permettra de gagner ton pain. Regardez comment travaille votre frère, mais vous ne gagnez même pas votre sel. » « Eh bien, mon père, répondit-il, je suis tout à fait disposé à apprendre quelque chose ; en effet, si cela pouvait être réussi, j'aimerais apprendre à frémir. Je ne comprends pas encore du tout. » Le frère aîné sourit en entendant cela et pensa : « Mon Dieu, quel imbécile, mon frère !"
https://images.pexels.com/photos/9714436/pexels-photo-9714436.jpeg?auto=compress&cs=tinysrgb&h=350,"He will never be good for anything as long as he lives! He who wants to be a sickle must bend himself betimes.’ The father sighed, and answered him: ‘You shall soon learn what it is to shudder, but you will not earn your bread by that.’ Soon after this the sexton came to the house on a visit, and the father bewailed his trouble, and told him how his younger son was so backward in every respect that he knew nothing and learnt nothing. ‘Just think,’ said he, ‘when I asked him how he was going to earn his bread, he actually wanted to learn to shudder.’ ‘If that be all,’ replied the sexton, ‘he can learn that with me. Send him to me, and I will soon polish him.’ The father was glad to do it, for he thought: ‘It will train the boy a little.’ The sexton therefore took him into his house, and he had to ring the church bell. After a day or two, the sexton awoke him at midnight, and bade him arise and go up into the church tower and ring the bell. ‘You shall soon learn what shuddering is,’ thought he, and secretly went there before him; and when the boy was at the top of the tower and turned round, and was just going to take hold of the bell rope, he saw a white figure standing on the stairs opposite the sounding hole. ‘Who is there?’ cried he, but the figure made no reply, and did not move or stir. ‘Give an answer,’ cried the boy, ‘or take yourself off, you have no business here at night.’ The sexton, however, remained standing motionless that the boy might think he was a ghost.",只要他活着，他就永远不会有任何好处！想要成为一把镰刀的人必须及时弯曲自己。”父亲叹了口气，回答他说：“你很快就会知道什么是颤抖，但你不会靠它挣钱。”不久之后，教堂司事来到这所房子，父亲为他的麻烦而哀叹，并告诉他他的小儿子在各方面都如此落后，以至于他什么都不知道，也什么也没学到。 “想一想，”他说，“当我问他怎样才能挣到面包时，他实际上想学会颤抖。” “如果仅此而已，”教堂司事回答道，“他可以和我一起学习这一点。”把他送到我这里来，我很快就会把他磨光。”父亲很高兴这样做，因为他想：“这会对这个男孩进行一些训练。”因此，教堂司事把他带进了自己的房子，他不得不敲响教堂的钟声。一两天后，教堂司事在半夜叫醒了他，并吩咐他起身到教堂塔楼按响钟声。 “你很快就会知道什么是颤抖，”他想，然后偷偷地在他之前去了那里。当男孩到了塔顶，转身，正要抓住钟绳时，却看见一个白色的人影站在传声孔对面的楼梯上。 “谁在那儿？”他喊道，但那人影没有回答，也没有动弹。 “给个答复，”男孩喊道，“不然就走开，晚上你没有事。”然而教堂司事却一动不动地站着，免得男孩以为他是鬼魂。,"Il ne sera jamais bon à rien tant qu'il vivra ! Celui qui veut être une faucille doit se plier de bonne heure. » Le père soupira et lui répondit : « Tu apprendras bientôt ce que c'est que de frémir, mais tu ne gagneras pas ton pain avec ça. » Peu de temps après, le sacristain vint en visite à la maison, et le père déplora son malheur et lui raconta que son plus jeune fils était si arriéré à tous égards qu'il ne savait rien et n'apprenait rien. « Pensez-y, dit-il, quand je lui ai demandé comment il allait gagner son pain, il a voulu apprendre à frissonner. » « Si c'est tout, répondit le sacristain, il peut apprendre cela avec moi. Envoyez-le-moi et je le polirai bientôt. » Le père était content de le faire, car il pensait : « Cela entraînera un peu l'enfant. » Le sacristain l'emmena donc chez lui et il dut sonner la cloche de l'église. Au bout d'un jour ou deux, le sacristain le réveilla à minuit et lui ordonna de se lever, de monter dans le clocher de l'église et de sonner la cloche. « Vous apprendrez bientôt ce que c'est que le frisson », pensa-t-il, et il s'y rendit secrètement avant lui ; Et alors que le garçon était au sommet de la tour et se retournait, et était sur le point de saisir la corde de la cloche, il aperçut une silhouette blanche debout sur l'escalier en face de la sonde. « Qui est là ? » s’écria-t-il, mais la silhouette ne répondit pas et ne bougea ni ne bougea. « Répondez, s'écria le garçon, ou partez, vous n'avez rien à faire ici cette nuit. » Le sacristain resta cependant debout, immobile, pour que le garçon pût croire qu'il était un fantôme."
https://images.pexels.com/photos/33251162/pexels-photo-33251162.jpeg?auto=compress&cs=tinysrgb&h=350,"The boy cried a second time: ‘What do you want here?--speak if you are an honest fellow, or I will throw you down the steps!’ The sexton thought: ‘He can’t mean to be as bad as his words,’ uttered no sound and stood as if he were made of stone. Then the boy called to him for the third time, and as that was also to no purpose, he ran against him and pushed the ghost down the stairs, so that it fell down the ten steps and remained lying there in a corner. Thereupon he rang the bell, went home, and without saying a word went to bed, and fell asleep. The sexton’s wife waited a long time for her husband, but he did not come back.",男孩第二次喊道：“你在这里想做什么？——如果你是个诚实的人，就说吧，否则我就把你扔下台阶！” 教堂司事心想：“他的意思不会像他说的那么坏。”没有出声，站在那里，仿佛他是石头做的。童子第三次叫他，也无济于事，他就迎着他，把鬼推下了楼梯，鬼就滚下了十级台阶，躺在角落里。于是他按响了门铃，回到家，二话不说就上床睡觉了。教堂司事的妻子等了丈夫很久，但他没有回来。,"Le garçon cria une seconde fois : « Que veux-tu ici ? — Parle si tu es un honnête garçon, ou je te jetterai dans les escaliers ! Alors le garçon l'appela pour la troisième fois, et comme cela aussi ne servait à rien, il courut contre lui et poussa le fantôme dans l'escalier, de sorte qu'il tomba dans les dix marches et resta couché là dans un coin. Là-dessus, il sonna, rentra chez lui, se coucha sans dire un mot et s'endormit. La femme du sacristain attendit longtemps son mari, mais celui-ci ne revint pas."
https://images.pexels.com/photos/12579959/pexels-photo-12579959.jpeg?auto=compress&cs=tinysrgb&h=350,"At length she became uneasy, and wakened the boy, and asked: ‘Do you know where my husband is? He climbed up the tower before you did.’ ‘No, I don’t know,’ replied the boy, ‘but someone was standing by the sounding hole on the other side of the steps, and as he would neither give an answer nor go away, I took him for a scoundrel, and threw him downstairs. Just go there and you will see if it was he. I should be sorry if it were.’ The woman ran away and found her husband, who was lying moaning in the corner, and had broken his leg.",最后她不安起来，叫醒了男孩，问道：“你知道我丈夫在哪里吗？”他比你先爬上塔楼。” “不，我不知道，”男孩回答道，“但是台阶另一边的发声孔旁边站着一个人，他既不回答也不走开，我把他当成流氓，把他扔下了楼。只要去那里你就会看到是不是他。如果是的话，我会很抱歉。”女人跑开，发现她的丈夫躺在角落里呻吟，并且摔断了腿。,"A la fin, elle s'inquiéta, réveilla le garçon et lui demanda : « Savez-vous où est mon mari ? Il est monté dans la tour avant vous. » « Non, je ne sais pas, » répondit le garçon, « mais quelqu'un se tenait près du trou de sonde, de l'autre côté des marches, et comme il ne voulait ni répondre ni s'éloigner, je l'ai pris pour un scélérat et je l'ai jeté en bas. Allez-y et vous verrez si c'était lui. Je serais désolé si c’était le cas.’ La femme s’est enfuie et a trouvé son mari, qui gémissait dans un coin et qui s’était cassé la jambe."
https://images.pexels.com/photos/8597425/pexels-photo-8597425.jpeg?auto=compress&cs=tinysrgb&h=350,"She carried him down, and then with loud screams she hastened to the boy’s father, ‘Your boy,’ cried she, ‘has been the cause of a great misfortune! He has thrown my husband down the steps so that he broke his leg. Take the good-for-nothing fellow out of our house.’ The father was terrified, and ran thither and scolded the boy. ‘What wicked tricks are these?’ said he. ‘The devil must have put them into your head.’ ‘Father,’ he replied, ‘do listen to me. I am quite innocent.",她把他抱了下来，然后大声尖叫着冲向男孩的父亲，“你的孩子，”她喊道，“造成了巨大的不幸！”他把我丈夫从台阶上摔下来，摔断了腿。把这个没出息的家伙从我们家赶出去。”父亲吓坏了，跑过去责骂孩子。 “这是什么邪恶的把戏？”他说。 “一定是魔鬼把它们放进了你的脑子里。” “父亲，”他回答道，“请听我说。我是很无辜的。,"Elle le descendit, puis, poussant de grands cris, elle se précipita vers le père du garçon : « Votre garçon, s'écria-t-elle, a été la cause d'un grand malheur ! Il a jeté mon mari dans les marches et lui a cassé la jambe. Faites sortir ce vaurien de notre maison. » Le père, terrifié, courut là-bas et gronda le garçon. « De quels méchants tours s’agit-il ? dit-il. « Le diable a dû te les mettre dans la tête. » « Père, répondit-il, écoute-moi. Je suis tout à fait innocent."
https://images.pexels.com/photos/4390305/pexels-photo-4390305.jpeg?auto=compress&cs=tinysrgb&h=350,"He was standing there by night like one intent on doing evil. I did not know who it was, and I entreated him three times either to speak or to go away.’ ‘Ah,’ said the father, ‘I have nothing but unhappiness with you. Go out of my sight. I will see you no more.’ ‘Yes, father, right willingly, wait only until it is day.",夜里他站在那里，就像一个一心要作恶的人。我不知道那人是谁，我三番五次地求他，要么说话，要么走开。”滚出我的视线吧。我不会再见到你了。” “是的，父亲，我愿意，只要等到天亮。,"Il se tenait là la nuit, comme quelqu'un qui avait l'intention de faire le mal. Je ne savais pas qui c'était, et je l'ai supplié trois fois soit de parler, soit de s'en aller. "" "" Ah, dit le père, je n'ai que du malheur avec toi. Sortez de ma vue. Je ne vous reverrai plus. — Oui, mon père, de bon gré, attends seulement qu'il fasse jour."
https://images.pexels.com/photos/8384039/pexels-photo-8384039.jpeg?auto=compress&cs=tinysrgb&h=350,"Then will I go forth and learn how to shudder, and then I shall, at any rate, understand one art which will support me.’ ‘Learn what you will,’ spoke the father, ‘it is all the same to me. Here are fifty talers for you. Take these and go into the wide world, and tell no one from whence you come, and who is your father, for I have reason to be ashamed of you.’ ‘Yes, father, it shall be as you will. If you desire nothing more than that, I can easily keep it in mind.’ When the day dawned, therefore, the boy put his fifty talers into his pocket, and went forth on the great highway, and continually said to himself: ‘If I could but shudder!",然后我就会继续前行，学习如何颤抖，然后无论如何，我都会了解一门可以支持我的艺术。” “学你会学的，”父亲说，“这对我来说都是一样的。这里有五十塔勒给你。带上这些，走进广阔的世界，不要告诉任何人你从哪里来，你的父亲是谁，因为我有理由为你感到羞耻。” “是的，父亲，就如你所愿。如果你只想要这个，我可以很容易地记住它。”因此，当天亮时，男孩把他的五十塔勒放进口袋，沿着大道走去，不断地对自己说：“如果我能不颤抖就好了！,"Alors j’irai et j’apprendrai à frémir, et alors je comprendrai au moins un art qui me soutiendra. » « Apprenez ce que vous voulez, » dit le père, « cela m’est égal. Voici cinquante talers pour vous. Prends-les et pars dans le monde entier, et ne dis à personne d’où tu viens ni qui est ton père, car j’ai raison d’avoir honte de toi. » « Oui, père, il en sera comme tu voudras. Si vous ne désirez rien de plus, je peux facilement le garder à l'esprit. » Quand le jour se leva, le garçon mit donc ses cinquante talers dans sa poche, et partit sur la grande route, et se disait continuellement : « Si seulement je pouvais frémir !"
https://images.pexels.com/photos/1217243/pexels-photo-1217243.jpeg?auto=compress&cs=tinysrgb&h=350,"If I could but shudder!’ Then a man approached who heard this conversation which the youth was holding with himself, and when they had walked a little farther to where they could see the gallows, the man said to him: ‘Look, there is the tree where seven men have married the ropemaker’s daughter, and are now learning how to fly. Sit down beneath it, and wait till night comes, and you will soon learn how to shudder.’ ‘If that is all that is wanted,’ answered the youth, ‘it is easily done; but if I learn how to shudder as fast as that, you shall have my fifty talers. Just come back to me early in the morning.’ Then the youth went to the gallows, sat down beneath it, and waited till evening came. And as he was cold, he lighted himself a fire, but at midnight the wind blew so sharply that in spite of his fire, he could not get warm.",如果我能不颤抖就好了！’然后一个男人走了过来，听到了年轻人与自己进行的对话，当他们走了一段距离可以看到绞刑架的地方时，那个男人对他说：“看，那棵树上有七个男人娶了绳匠的女儿，现在正在学习如何飞翔。坐在它下面，等到夜幕降临，你很快就会学会如何颤抖。” “如果这就是你想要的，”年轻人回答说，“那就容易做到了；但如果我学会了如何那么快地颤抖，你就会得到我的五十塔勒。早上一早就回来找我吧。”然后年轻人走到绞刑架前，在绞刑架下坐下，一直等到晚上。由于天气寒冷，他给自己生了火，但半夜时风刮得很厉害，尽管他生了火，却无法取暖。,"Si seulement je pouvais frémir ! » Alors un homme s'approcha qui entendit cette conversation que le jeune homme avait avec lui-même, et quand ils eurent fait un peu plus loin jusqu'à l'endroit où ils pouvaient voir la potence, l'homme lui dit : « Regarde, voici l'arbre où sept hommes ont épousé la fille du cordier et apprennent maintenant à voler. Asseyez-vous dessous et attendez que la nuit vienne, et vous apprendrez bientôt à frémir. » « Si c’est tout ce qu’il faut, répondit le jeune homme, c’est facile à faire ; mais si j’apprends à frémir aussi vite, tu auras mes cinquante talers. Revenez me voir tôt le matin. » Alors le jeune homme se rendit à la potence, s’assit en dessous et attendit que le soir vienne. Et comme il avait froid, il alluma un feu, mais à minuit le vent soufflait si fort que malgré son feu, il ne parvenait pas à se réchauffer."
https://images.pexels.com/photos/18163737/pexels-photo-18163737.jpeg?auto=compress&cs=tinysrgb&h=350,"And as the wind knocked the hanged men against each other, and they moved backwards and forwards, he thought to himself: ‘If you shiver below by the fire, how those up above must freeze and suffer!’ And as he felt pity for them, he raised the ladder, and climbed up, unbound one of them after the other, and brought down all seven. Then he stoked the fire, blew it, and set them all round it to warm themselves. But they sat there and did not stir, and the fire caught their clothes. So he said: ‘Take care, or I will hang you up again.’ The dead men, however, did not hear, but were quite silent, and let their rags go on burning.",当风把那些绞刑架上的人互相撞在一起，他们前后移动时，他心里想：“如果你在下面被火冻得瑟瑟发抖，上面的人一定会被冻住，受苦受难！”他怜悯他们，就举起梯子，爬了上去，把他们一个接一个地解开，把七个人都放了下来。然后他生火，吹灭，然后让他们围着火取暖。但他们坐在那里一动不动，火烧着了他们的衣服。于是他说：“小心点，不然我又把你吊起来了。”然而死人却没有听见，只是一声不吭，任由他们的破布继续燃烧。,"Et tandis que le vent frappait les pendus les uns contre les autres, et qu'ils se déplaçaient d'avant en arrière, il pensa en lui-même : « Si tu frissonnes en bas près du feu, comme ceux d'en haut doivent geler et souffrir ! » Et comme il avait pitié d'eux, il souleva l'échelle et monta, les détacha l'un après l'autre et les fit tomber tous les sept. Puis il attisa le feu, le souffla et les plaça tout autour pour se réchauffer. Mais ils restèrent là et ne bougèrent pas, et le feu atteignit leurs vêtements. Alors il dit : « Faites attention, ou je vous raccrocherai. » Les morts, cependant, n'entendirent pas, mais restèrent tout à fait silencieux et laissèrent brûler leurs haillons."
https://images.pexels.com/photos/34014555/pexels-photo-34014555.jpeg?auto=compress&cs=tinysrgb&h=350,"At this he grew angry, and said: ‘If you will not take care, I cannot help you, I will not be burnt with you,’ and he hung them up again each in his turn. Then he sat down by his fire and fell asleep, and the next morning the man came to him and wanted to have the fifty talers, and said: ‘Well do you know how to shudder?’ ‘No,’ answered he, ‘how should I know? Those fellows up there did not open their mouths, and were so stupid that they let the few old rags which they had on their bodies get burnt.’ Then the man saw that he would not get the fifty talers that day, and went away saying: ‘Such a youth has never come my way before.’ The youth likewise went his way, and once more began to mutter to himself: ‘Ah, if I could but shudder! Ah, if I could but shudder!’ A waggoner who was striding behind him heard this and asked: ‘Who are you?’ ‘I don’t know,’ answered the youth.",他听了很生气，说：“如果你不小心，我就帮不了你，我不会和你一起被烧死。”然后他又把它们依次挂起来。然后他在火边坐下来睡着了，第二天早上，那人来找他，想要那五十塔勒，并说：“你知道如何颤抖吗？”“不，”他回答道，“我怎么知道呢？”那些上面的家伙不开口，愚蠢到让身上的几块旧破布都被烧掉了。”那人见今天拿不到五十塔勒，就走开了，说道：“我从来没有遇到过这样的年轻人。”年轻人也走了，又开始自言自语道：“啊，如果我能不颤抖就好了！啊，如果我能不颤抖就好了！’ 一个大步走在他身后的车夫听到了这句话，问道：“你是谁？” “我不知道，”年轻人回答道。,"Alors il se mit en colère et dit : « Si vous n'y prenez pas garde, je ne peux pas vous aider, je ne serai pas brûlé avec vous », et il les raccrocha chacun à son tour. Puis il s'assit près de son feu et s'endormit, et le lendemain matin l'homme vint vers lui et voulut avoir les cinquante talers, et dit : « Eh bien, sais-tu frémir ? » « Non, » répondit-il, « comment le saurais-je ? Ces gens là-haut n’ouvraient pas la bouche et étaient si stupides qu’ils laissèrent brûler les quelques vieux haillons qu’ils avaient sur le corps. » Alors l’homme vit qu’il n’obtiendrait pas les cinquante talers ce jour-là et s’en alla en disant : « Un tel jeune n’est jamais venu vers moi auparavant. » Le jeune homme s’en alla également et se remit à murmurer : « Ah ! Ah, si je pouvais seulement frémir ! » Un charretier qui marchait derrière lui entendit cela et demanda : « Qui es-tu ? » « Je ne sais pas », répondit le jeune homme."
